source,HCODE,SIGUNGU,EUPMYEON,name,address,type_name,type_code,assigned_pop,capacity_est,p_elderly,p_child,vuln,pressure,priority,lat,lon
통합,4617033000,나주시,반남면,풍동경로당,전라남도 나주시 반남면 대안리 218-3,한파쉼터,1,1247.0,3908.0,0.5324779470729751,0.007217321571772253,0.3748997594226143,0.31908904810644834,149.1741299897646,34.9100327,126.6454446
통합,5272038000,진안군,부귀면,방각마을회관,전북특별자치도 진안군 부귀면 황금로 446 ,한파쉼터,1,1406.0,3908.0,0.3938855314610736,0.031283327408460716,0.2851048702452897,0.35977482088024565,144.2184163961662,35.8737594,127.3806891
통합,5272038000,진안군,부귀면,석정경로당,전북특별자치도 진안군 부귀면 두남리 17,한파쉼터,1,1406.0,3908.0,0.3938855314610736,0.031283327408460716,0.2851048702452897,0.35977482088024565,144.2184163961662,35.8554136,127.4274212
통합,4691038000,신안군,신의면,평사도경로당,전라남도 신안군 신의면 고평사도리 264,한파쉼터,1,1543.0,3908.0,0.32534024627349317,0.027867790019442645,0.236098509397278,0.39483111566018425,143.83697543500512,34.578876,126.147648
통합,5273033000,무주군,적상면,무주농협상곡지소점,전북특별자치도 무주군 적상면괴목로 556,한파쉼터,1,1258.0,3908.0,0.49761526232114467,0.01589825119236884,0.3531001589825119,0.3219037871033777,142.98966223132038,35.9487229,127.7154745
통합,5273033000,무주군,적상면,적상농협,전북특별자치도 무주군 적상면 적상산로 47 ,한파쉼터,1,1258.0,3908.0,0.49761526232114467,0.01589825119236884,0.3531001589825119,0.3219037871033777,142.98966223132038,35.9450228,127.6594603
통합,5275036000,임실군,신덕면,월성마을회관,전북특별자치도 임실군 신덕면월성길 64-1,한파쉼터,1,1242.0,3908.0,0.49597423510466987,0.0249597423510467,0.3546698872785829,0.3178096212896622,139.9951381780962,35.719058,127.181344
통합,4477036000,서천군,시초면,선동경로당,충청남도 서천군 시초면 시초남로 147 ,한파쉼터,1,1149.0,3908.0,0.5822454308093995,0.015665796344647518,0.4122715404699739,0.29401228249744116,139.27361821903787,36.1055534,126.7382678
통합,3117060000,동구,남목3동,방어진농협남목지점,울산광역시 동구 옥류로 36,한파쉼터,1,5436.0,36785.0,0.22249816041206769,0.05592347314201619,0.1725257542310522,0.14777762675003397,138.59324724751934,35.5420239,129.4262052
통합,3117060000,동구,남목3동,하나은행현대중공업(출),울산광역시 동구 방어진순환도로 1000 (미포동),한파쉼터,1,5436.0,36785.0,0.22249816041206769,0.05592347314201619,0.1725257542310522,0.14777762675003397,138.59324724751934,35.5298241,129.4364562
통합,4372032500,보은군,장안면,장안면주민자치센터,충청북도 보은군 장안면장안로 37,한파쉼터,1,1388.0,3908.0,0.38328530259365995,0.03818443804034582,0.2797550432276657,0.35516888433981575,137.91207778915046,36.4701055,127.7893168
통합,5275031000,임실군,청웅면,청룡경로당,전북특별자치도 임실군 청웅면 향교3길 16 ,한파쉼터,1,1185.0,3908.0,0.5358649789029536,0.021940928270042195,0.38168776371308016,0.3032241555783009,137.1482855680655,35.5844954,127.2107782
통합,5213039000,군산시,옥도면,무녀1구경로당,전북특별자치도 군산시 옥도면 무녀도4길 7-8 ,한파쉼터,1,1405.0,3908.0,0.3697508896797153,0.011743772241992882,0.26234875444839856,0.35951893551688846,132.51867963152506,35.8054002,126.424361
통합,5213039000,군산시,옥도면,선유3구경로당,전북특별자치도 군산시 옥도면 선유도3길 33-4 ,한파쉼터,1,1405.0,3908.0,0.3697508896797153,0.011743772241992882,0.26234875444839856,0.35951893551688846,132.51867963152506,35.8251104,126.4154723
